"position_id","position_title","pay_type","min_scale","max_scale","management_role"
1,"President","Monthly",25000.0000,85000.0000,"Senior Management"
6,"HQ Information Systems","Monthly",6700.0000,10000.0000,"Middle Management"
7,"HQ Marketing","Monthly",5000.0000,8500.0000,"Middle Management"
8,"HQ Human Resources","Monthly",5000.0000,6700.0000,"Middle Management"
9,"HQ Finance and Accounting","Monthly",5000.0000,6700.0000,"Middle Management"
11,"Store Manager","Monthly",8500.0000,17000.0000,"Store Management"
14,"Store Information Systems","Monthly",6700.0000,10000.0000,"Store Full Time Staff"
15,"Store Permanent Checker","Monthly",5000.0000,9000.0000,"Store Full Time Staff"
16,"Store Temporary Checker","Hourly",20.0000,40.0000,"Store Full Time Staff"
17,"Store Permanent Stocker","Monthly",3400.0000,6700.0000,"Store Full Time Staff"
18,"Store Temporary Stocker","Hourly",20.0000,40.0000,"Store Temp Staff"
19,"Store Permanent Butcher","Monthly",6700.0000,10000.0000,"Store Full Time Staff"
2,"VP Country Manager","Monthly",20000.0000,40000.0000,"Senior Management"
3,"VP Information Systems","Monthly",12500.0000,25000.0000,"Senior Management"
4,"VP Human Resources","Monthly",10000.0000,20000.0000,"Senior Management"
5,"VP Finance","Monthly",17000.0000,35000.0000,"Senior Management"
12,"Store Assistant Manager","Monthly",6700.0000,12500.0000,"Store Management"
13,"Store Shift Supervisor","Monthly",6700.0000,8500.0000,"Store Management"
